transaction_id,user_id,datetime,amount,merchant,category,channel,payment_type,location,hour,day_of_week,is_weekend,time_bucket,category_avg_amount,category_std_amount,category_txn_count,merchant_avg_amount,merchant_txn_count,amount_zscore,flags,reasons
TXN000003,U001,2025-01-01 12:20:00,372.27,LAZADA,Shopping,E-WALLET,DEBIT,Kuala Lumpur,12,2,False,AFTERNOON,287.1,137.94,177,299.9,51,0.62,NORMAL,No unusual spending behavior detected
TXN000001,U001,2025-01-01 14:11:00,357.83,UNIQLO,Shopping,E-WALLET,DEBIT,Petaling Jaya,14,2,False,AFTERNOON,287.1,137.94,177,296.04,35,0.51,NORMAL,No unusual spending behavior detected
TXN000002,U001,2025-01-01 15:41:00,83.12,SETEL,Fuel,DEBIT CARD,DEBIT,Petaling Jaya,15,2,False,AFTERNOON,83.21,22.89,142,85.28,42,-0.0,NORMAL,No unusual spending behavior detected
TXN000004,U001,2025-01-01 18:03:00,423.52,SHOPEE,Shopping,DEBIT CARD,DEBIT,Petaling Jaya,18,2,False,EVENING,287.1,137.94,177,252.19,45,0.99,NORMAL,No unusual spending behavior detected
TXN000008,U001,2025-01-02 12:49:00,185.36,LOTUS,Grocery,E-WALLET,DEBIT,Shah Alam,12,3,False,AFTERNOON,141.85,61.78,177,149.89,47,0.7,NORMAL,No unusual spending behavior detected
TXN000007,U001,2025-01-02 14:28:00,394.9,UNIQLO,Shopping,E-WALLET,DEBIT,Shah Alam,14,3,False,AFTERNOON,287.1,137.94,177,296.04,35,0.78,NORMAL,No unusual spending behavior detected
TXN000006,U001,2025-01-02 17:56:00,75.41,PETRONAS,Fuel,E-WALLET,DEBIT,Shah Alam,17,3,False,AFTERNOON,83.21,22.89,142,83.28,55,-0.34,NORMAL,No unusual spending behavior detected
TXN000005,U001,2025-01-02 19:12:00,104.1,PETRONAS,Fuel,E-WALLET,DEBIT,Petaling Jaya,19,3,False,EVENING,83.21,22.89,142,83.28,55,0.91,NORMAL,No unusual spending behavior detected
TXN000009,U001,2025-01-03 21:20:00,7.22,GRAB,Transport,DEBIT CARD,DEBIT,Petaling Jaya,21,4,False,EVENING,27.72,12.25,129,29.45,36,-1.67,NORMAL,No unusual spending behavior detected
TXN000010,U001,2025-01-03 23:51:00,118.57,SETEL,Fuel,DEBIT CARD,DEBIT,Shah Alam,23,4,False,LATE_NIGHT,83.21,22.89,142,85.28,42,1.54,LATE_NIGHT_WEEKDAY,Transaction occurred late at night on a weekday
TXN000012,U001,2025-01-04 12:39:00,530.68,IKEA,Shopping,E-WALLET,DEBIT,Petaling Jaya,12,5,True,AFTERNOON,287.1,137.94,177,300.27,46,1.77,NORMAL,No unusual spending behavior detected
TXN000013,U001,2025-01-04 13:08:00,38.43,GRAB,Transport,E-WALLET,DEBIT,Petaling Jaya,13,5,True,AFTERNOON,27.72,12.25,129,29.45,36,0.87,NORMAL,No unusual spending behavior detected
TXN000011,U001,2025-01-04 14:46:00,73.23,SHELL,Fuel,E-WALLET,DEBIT,Petaling Jaya,14,5,True,AFTERNOON,83.21,22.89,142,81.18,45,-0.44,NORMAL,No unusual spending behavior detected
TXN000016,U001,2025-01-05 09:12:00,389.62,UNIQLO,Shopping,E-WALLET,DEBIT,Petaling Jaya,9,6,True,MORNING,287.1,137.94,177,296.04,35,0.74,NORMAL,No unusual spending behavior detected
TXN000014,U001,2025-01-05 11:11:00,83.13,SHELL,Fuel,E-WALLET,DEBIT,Petaling Jaya,11,6,True,MORNING,83.21,22.89,142,81.18,45,-0.0,NORMAL,No unusual spending behavior detected
TXN000015,U001,2025-01-05 21:44:00,27.86,GRAB,Transport,DEBIT CARD,DEBIT,Petaling Jaya,21,6,True,EVENING,27.72,12.25,129,29.45,36,0.01,NORMAL,No unusual spending behavior detected
TXN000018,U001,2025-01-06 18:51:00,65.48,LOTUS,Grocery,E-WALLET,DEBIT,Kuala Lumpur,18,0,False,EVENING,141.85,61.78,177,149.89,47,-1.24,NORMAL,No unusual spending behavior detected
TXN000017,U001,2025-01-06 20:01:00,80.65,KFC,Food,DEBIT CARD,DEBIT,Petaling Jaya,20,0,False,EVENING,71.84,34.34,263,70.94,50,0.26,NORMAL,No unusual spending behavior detected
TXN000020,U001,2025-01-07 10:46:00,167.04,UNIQLO,Shopping,DEBIT CARD,DEBIT,Kuala Lumpur,10,1,False,MORNING,287.1,137.94,177,296.04,35,-0.87,NORMAL,No unusual spending behavior detected
TXN000019,U001,2025-01-07 15:17:00,170.86,LAZADA,Shopping,DEBIT CARD,DEBIT,Kuala Lumpur,15,1,False,AFTERNOON,287.1,137.94,177,299.9,51,-0.84,NORMAL,No unusual spending behavior detected
TXN000021,U001,2025-01-07 17:37:00,47.04,TEXAS CHICKEN,Food,DEBIT CARD,DEBIT,Shah Alam,17,1,False,AFTERNOON,71.84,34.34,263,75.97,49,-0.72,NORMAL,No unusual spending behavior detected
TXN000022,U001,2025-01-08 21:50:00,185.04,GIANT,Grocery,DEBIT CARD,DEBIT,Kuala Lumpur,21,2,False,EVENING,141.85,61.78,177,122.73,45,0.7,NORMAL,No unusual spending behavior detected
TXN000025,U001,2025-01-09 12:12:00,172.94,AEON,Grocery,E-WALLET,DEBIT,Petaling Jaya,12,3,False,AFTERNOON,141.85,61.78,177,148.39,49,0.5,NORMAL,No unusual spending behavior detected
TXN000024,U001,2025-01-09 16:14:00,20.56,MCDONALDS,Food,DEBIT CARD,DEBIT,Kuala Lumpur,16,3,False,AFTERNOON,71.84,34.34,263,65.96,57,-1.49,NORMAL,No unusual spending behavior detected
TXN000023,U001,2025-01-09 17:50:00,111.2,UNIQLO,Shopping,DEBIT CARD,DEBIT,Kuala Lumpur,17,3,False,AFTERNOON,287.1,137.94,177,296.04,35,-1.28,NORMAL,No unusual spending behavior detected
TXN000026,U001,2025-01-10 11:42:00,80.44,VILLAGE GROCER,Grocery,E-WALLET,DEBIT,Kuala Lumpur,11,4,False,MORNING,141.85,61.78,177,146.37,36,-0.99,NORMAL,No unusual spending behavior detected
TXN000027,U001,2025-01-10 13:39:00,218.46,VILLAGE GROCER,Grocery,DEBIT CARD,DEBIT,Shah Alam,13,4,False,AFTERNOON,141.85,61.78,177,146.37,36,1.24,NORMAL,No unusual spending behavior detected
TXN000028,U001,2025-01-11 14:14:00,132.09,LOTUS,Grocery,DEBIT CARD,DEBIT,Petaling Jaya,14,5,True,AFTERNOON,141.85,61.78,177,149.89,47,-0.16,NORMAL,No unusual spending behavior detected
TXN000029,U001,2025-01-11 14:52:00,62.64,TEXAS CHICKEN,Food,DEBIT CARD,DEBIT,Kuala Lumpur,14,5,True,AFTERNOON,71.84,34.34,263,75.97,49,-0.27,NORMAL,No unusual spending behavior detected
TXN000030,U001,2025-01-12 11:10:00,68.45,GRAB*FOOD,Food,DEBIT CARD,DEBIT,Shah Alam,11,6,True,MORNING,71.84,34.34,263,71.35,45,-0.1,NORMAL,No unusual spending behavior detected
TXN000032,U001,2025-01-13 10:21:00,44.84,MCDONALDS,Food,E-WALLET,DEBIT,Kuala Lumpur,10,0,False,MORNING,71.84,34.34,263,65.96,57,-0.79,NORMAL,No unusual spending behavior detected
TXN000031,U001,2025-01-13 14:32:00,108.78,SHELL,Fuel,DEBIT CARD,DEBIT,Petaling Jaya,14,0,False,AFTERNOON,83.21,22.89,142,81.18,45,1.12,NORMAL,No unusual spending behavior detected
TXN000033,U001,2025-01-13 16:42:00,56.14,LOCAL CAFE,Food,E-WALLET,DEBIT,Kuala Lumpur,16,0,False,AFTERNOON,71.84,34.34,263,75.05,62,-0.46,NORMAL,No unusual spending behavior detected
TXN000034,U001,2025-01-14 16:12:00,127.19,AEON,Grocery,DEBIT CARD,DEBIT,Petaling Jaya,16,1,False,AFTERNOON,141.85,61.78,177,148.39,49,-0.24,NORMAL,No unusual spending behavior detected
TXN000038,U001,2025-01-15 09:20:00,108.8,LOTUS,Grocery,E-WALLET,DEBIT,Shah Alam,9,2,False,MORNING,141.85,61.78,177,149.89,47,-0.54,NORMAL,No unusual spending behavior detected
